Heading	MESH Descriptor
Glatiramer Acetate	MESH:D000068717
Rosuvastatin Calcium	MESH:D000068718
Duloxetine Hydrochloride	MESH:D000068736
Tolterodine Tartrate	MESH:D000068737
Valsartan	MESH:D000068756
Ononis	MESH:D000068757
Mometasone Furoate, Formoterol Fumarate Drug Combination	MESH:D000068758
Formoterol Fumarate	MESH:D000068759
Serotonin and Noradrenaline Reuptake Inhibitors	MESH:D000068760
Sleep Aids, Pharmaceutical	MESH:D000068776
Orexin Receptor Antagonists	MESH:D000068796
Orexins	MESH:D000068797
Hoodia	MESH:D000068798
Prasugrel Hydrochloride	MESH:D000068799
Etanercept	MESH:D000068800
Adapalene, Benzoyl Peroxide Drug Combination	MESH:D000068801
Adapalene	MESH:D000068816
Epoetin Alfa	MESH:D000068817
Cetuximab	MESH:D000068818
Hyssopus Plant	MESH:D000068819
Rivastigmine	MESH:D000068836
Parmeliaceae	MESH:D000068837
Amlodipine, Valsartan Drug Combination	MESH:D000068838
Eugenia	MESH:D000068856
Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18	MESH:D000068857
Kombucha Tea	MESH:D000068858
Fingolimod Hydrochloride	MESH:D000068876
Imatinib Mesylate	MESH:D000068877
Trastuzumab	MESH:D000068878
Adalimumab	MESH:D000068879
Isophane Insulin, Human	MESH:D000068880
Animals, Exotic	MESH:D000068881
Paliperidone Palmitate	MESH:D000068882
Immunosenescence	MESH:D000068884
Canagliflozin	MESH:D000068896
Iridescence	MESH:D000068897
Raltegravir Potassium	MESH:D000068898
Sitagliptin Phosphate, Metformin Hydrochloride Drug Combination	MESH:D000068899
Sitagliptin Phosphate	MESH:D000068900
Spatial Regression	MESH:D000068916
Theranostic Nanomedicine	MESH:D000068936
Cosmeceuticals	MESH:D000068937
Prisoner Dilemma	MESH:D000068956
Games, Recreational	MESH:D000068957
Return to Sport	MESH:D000068958
Body Weight Maintenance	MESH:D000068959
Concierge Medicine	MESH:D000068977
Smartphone	MESH:D000068997
Humidifiers	MESH:D000068998
Acculturation	MESH:D000069
Insulin Glargine	MESH:D000069036
Lurasidone Hydrochloride	MESH:D000069056
Insulin Detemir	MESH:D000069057
Vardenafil Dihydrochloride	MESH:D000069058
Atorvastatin	MESH:D000069059
Fractures, Multiple	MESH:D000069076
Memory Consolidation	MESH:D000069077
Seroconversion	MESH:D000069078
Radiation Exposure	MESH:D000069079
Health Smart Cards	MESH:D000069098
Type I Secretion Systems	MESH:D000069177
Type II Secretion Systems	MESH:D000069178
Gastrointestinal Microbiome	MESH:D000069196
Contraceptive Prevalence Surveys	MESH:D000069216
Pericardial Fluid	MESH:D000069236
Arthrocentesis	MESH:D000069237
Thoracentesis	MESH:D000069258
Superficial Musculoaponeurotic System	MESH:D000069259
Podosomes	MESH:D000069261
Plantar Plate	MESH:D000069262
Fallopia	MESH:D000069263
Arterial Switch Operation	MESH:D000069278
Drug Resistant Epilepsy	MESH:D000069279
Electrocorticography	MESH:D000069280
Autoimmune Hypophysitis	MESH:D000069281
Canaliculitis	MESH:D000069282
Rituximab	MESH:D000069283
Protein Translocation Systems	MESH:D000069284
Infliximab	MESH:D000069285
Bortezomib	MESH:D000069286
Capecitabine	MESH:D000069287
Parasite Encystment	MESH:D000069289
Incisional Hernia	MESH:D000069290
Pyroptosis	MESH:D000069292
Plasmablastic Lymphoma	MESH:D000069293
Twin-Arginine-Translocation System	MESH:D000069294
Mammary Analogue Secretory Carcinoma	MESH:D000069295
Type III Secretion Systems	MESH:D000069296
Acne Conglobata	MESH:D000069316
Type IV Secretion Systems	MESH:D000069319
Type V Secretion Systems	MESH:D000069320
Mitochondrial Replacement Therapy	MESH:D000069321
Self Expandable Metallic Stents	MESH:D000069322
Neurovascular Coupling	MESH:D000069336
Fused Kidney	MESH:D000069337
Neuropathology	MESH:D000069338
Trachelectomy	MESH:D000069339
Deprescriptions	MESH:D000069340
Transitional Care	MESH:D000069341
Medical Overuse	MESH:D000069342
Bone-Implant Interface	MESH:D000069343
Erlotinib Hydrochloride	MESH:D000069347
Quetiapine Fumarate	MESH:D000069348
Linezolid	MESH:D000069349
Telerehabilitation	MESH:D000069350
Tympanocentesis	MESH:D000069356
Type VI Secretion Systems	MESH:D000069376
Type VII Secretion Systems	MESH:D000069377
Mitochondrial Ribosomes	MESH:D000069396
Intravital Microscopy	MESH:D000069416
Toxicological Phenomena	MESH:D000069436
Pharmacological Phenomena	MESH:D000069437
Ezetimibe	MESH:D000069438
Dasatinib	MESH:D000069439
Natalizumab	MESH:D000069442
Heptavalent Pneumococcal Conjugate Vaccine	MESH:D000069443
Omalizumab	MESH:D000069444
Atomoxetine Hydrochloride	MESH:D000069445
Atazanavir Sulfate	MESH:D000069446
Tiotropium Bromide	MESH:D000069447
Denosumab	MESH:D000069448
Cinacalcet	MESH:D000069449
Liraglutide	MESH:D000069450
Long Term Adverse Effects	MESH:D000069451
Pathogen-Associated Molecular Pattern Molecules	MESH:D000069452
Ultrasonic Waves	MESH:D000069453
Darunavir	MESH:D000069454
Palivizumab	MESH:D000069455
Silent Mutation	MESH:D000069456
Population Forecast	MESH:D000069457
Ranolazine	MESH:D000069458
Teas, Herbal	MESH:D000069459
Teas, Medicinal	MESH:D000069460
Bendamustine Hydrochloride	MESH:D000069461
Dimethyl Fumarate	MESH:D000069462
Olive Oil	MESH:D000069463
Solifenacin Succinate	MESH:D000069464
Febuxostat	MESH:D000069465
Red Meat	MESH:D000069466
Fecal Microbiota Transplantation	MESH:D000069467
Desvenlafaxine Succinate	MESH:D000069468
Medical-Surgical Nursing	MESH:D000069469
Venlafaxine Hydrochloride	MESH:D000069470
Neurosurgeons	MESH:D000069471
Colesevelam Hydrochloride	MESH:D000069472
Radiation Dose Hypofractionation	MESH:D000069473
Sofosbuvir	MESH:D000069474
Re-Irradiation	MESH:D000069475
Linagliptin	MESH:D000069476
Lisdexamfetamine Dimesylate	MESH:D000069478
Buprenorphine, Naloxone Drug Combination	MESH:D000069479
Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	MESH:D000069480
Origin of Life	MESH:D000069497
Ezetimibe, Simvastatin Drug Combination	MESH:D000069499
Abiraterone Acetate	MESH:D000069501
Budesonide, Formoterol Fumarate Drug Combination	MESH:D000069502
Vilazodone Hydrochloride	MESH:D000069503
International Law	MESH:D000069516
Blog	MESH:D000069520
Adult Day Care Centers	MESH:D000069537
Infectious Encephalitis	MESH:D000069544
Elvitegravir, Cobicistat, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	MESH:D000069545
Cobicistat	MESH:D000069547
Ustekinumab	MESH:D000069549
Machine Learning	MESH:D000069550
Environmental Psychology	MESH:D000069551
Rivaroxaban	MESH:D000069552
Supervised Machine Learning	MESH:D000069553
Injection, Intratympanic	MESH:D000069555
Travoprost	MESH:D000069557
Unsupervised Machine Learning	MESH:D000069558
Loteprednol Etabonate	MESH:D000069559
Health Equity	MESH:D000069576
Morcellation	MESH:D000069577
Waterborne Diseases	MESH:D000069578
Ranibizumab	MESH:D000069579
Bimatoprost	MESH:D000069580
Exposure to Violence	MESH:D000069581
Eszopiclone	MESH:D000069582
Pregabalin	MESH:D000069583
Unilateral Breast Neoplasms	MESH:D000069584
Filgrastim	MESH:D000069585
Adult Survivors of Child Adverse Events	MESH:D000069586
Round Ligaments	MESH:D000069590
Round Ligament of Liver	MESH:D000069592
Round Ligament of Femur	MESH:D000069593
Abatacept	MESH:D000069594
Presenteeism	MESH:D000069597
Crop Production	MESH:D000069599
Plant Breeding	MESH:D000069600
Crop Protection	MESH:D000069601
Working Poor	MESH:D000069602
Sevelamer	MESH:D000069603
Dabigatran	MESH:D000069604
Olopatadine Hydrochloride	MESH:D000069605
Simeprevir	MESH:D000069616
Pedestrians	MESH:D000069636
Undocumented Immigrants	MESH:D000069756
Adipose Tissue, Beige	MESH:D000069796
Adipocytes, Beige	MESH:D000069797
SEC Translocation Channels	MESH:D000069816
Degloving Injuries	MESH:D000069836
Staghorn Calculi	MESH:D000069856
Struvite	MESH:D000069877
Transcription Activator-Like Effector Nucleases	MESH:D000069896
Endoscopic Mucosal Resection	MESH:D000069916
Chocolate	MESH:D000069956
Bacillus licheniformis	MESH:D000069976
Bacillus amyloliquefaciens	MESH:D000069977
Bifidobacterium longum	MESH:D000069978
Bacillus pumilus	MESH:D000069979
Lactobacillus paracasei	MESH:D000069980
Escherichia coli O104	MESH:D000069981
Bifidobacterium animalis	MESH:D000069982
Saccharomyces boulardii	MESH:D000069983
Bifidobacterium breve	MESH:D000069984
Bifidobacterium bifidum	MESH:D000069985
Lactobacillus salivarius	MESH:D000069996
Mastic Resin	MESH:D000069997
Lactobacillus gasseri	MESH:D000069998
Lactobacillus johnsonii	MESH:D000069999
Acebutolol	MESH:D000070
Bacillus coagulans	MESH:D000070000
Streptococcus salivarius	MESH:D000070001
Propionibacterium freudenreichii	MESH:D000070002
Lactobacillus crispatus	MESH:D000070003
Ocimum sanctum	MESH:D000070004
Bifidobacterium adolescentis	MESH:D000070005
Pediococcus pentosaceus	MESH:D000070006
Leuconostoc mesenteroides	MESH:D000070007
Pediococcus acidilactici	MESH:D000070016
Pediocins	MESH:D000070017
Lactobacillus pentosus	MESH:D000070018
Bacillus clausii	MESH:D000070019
Faecalibacterium	MESH:D000070036
Faecalibacterium prausnitzii	MESH:D000070037
Paenibacillus polymyxa	MESH:D000070057
Streptococcus iniae	MESH:D000070058
Paenibacillus larvae	MESH:D000070059
Bdellovibrio bacteriovorus	MESH:D000070060
Enterococcus hirae	MESH:D000070076
Bacteroides thetaiotaomicron	MESH:D000070077
Aeromonas veronii	MESH:D000070079
Pseudomonas chlororaphis	MESH:D000070096
Butyrivibrio fibrisolvens	MESH:D000070097
Bacillus firmus	MESH:D000070098
Streptococcus gallolyticus	MESH:D000070099
Informal Sector	MESH:D000070100
Megasphaera elsdenii	MESH:D000070101
Lotus	MESH:D000070116
Lipid Droplet Associated Proteins	MESH:D000070136
Perilipins	MESH:D000070137
Nogo Receptors	MESH:D000070156
Pogostemon	MESH:D000070177
Streptococcus gallolyticus subspecies gallolyticus	MESH:D000070197
Psacalium	MESH:D000070216
Bifidobacterium longum subspecies infantis	MESH:D000070236
Lactobacillus sakei	MESH:D000070256
Bifidobacterium pseudocatenulatum	MESH:D000070257
Teacher Training	MESH:D000070260
Sleep Hygiene	MESH:D000070263
Heart Rate Determination	MESH:D000070276
Orthodontic Friction	MESH:D000070297
Pediatric Emergency Medicine	MESH:D000070316
Strategic Planning	MESH:D000070318
Student Run Clinic	MESH:D000070319
Expropriation	MESH:D000070337
Pilots	MESH:D000070356
Asparagaceae	MESH:D000070357
Value-Based Health Insurance	MESH:D000070376
Anti-Vaccination Movement	MESH:D000070377
Amaryllidaceae	MESH:D000070378
Attentional Bias	MESH:D000070379
Xanthorrhoeaceae	MESH:D000070380
Asparagales	MESH:D000070381
Liliales	MESH:D000070396
Antagomirs	MESH:D000070416
Tannerella forsythia	MESH:D000070436
Colchicaceae	MESH:D000070437
Call Centers	MESH:D000070456
Hypoxidaceae	MESH:D000070476
Kinanthropometry	MESH:D000070496
Healthy Lifestyle	MESH:D000070497
Intersectoral Collaboration	MESH:D000070516
Independent Medical Evaluation	MESH:D000070536
C2 Domains	MESH:D000070538
Pleckstrin Homology Domains	MESH:D000070539
Melanthiaceae	MESH:D000070556
Immunoglobulin Domains	MESH:D000070557
Talipes	MESH:D000070558
Gizzard, Non-avian	MESH:D000070559
NLR Proteins	MESH:D000070576
Parkinson Disease Associated Proteins	MESH:D000070579
CYS2-HIS2 Zinc Fingers	MESH:D000070580
Tripartite Motif Proteins	MESH:D000070584
Cadherin Related Proteins	MESH:D000070585
Fiscal Policy	MESH:D000070586
Mental Navigation Tests	MESH:D000070587
Talipes Cavus	MESH:D000070589
Solute Carrier Proteins	MESH:D000070590
Metatarsal Valgus	MESH:D000070591
Metatarsus Varus	MESH:D000070592
Methyl CpG Binding Domain	MESH:D000070593
Coracoid Process	MESH:D000070597
Anterior Cruciate Ligament Injuries	MESH:D000070598
Shoulder Injuries	MESH:D000070599
Tibial Meniscus Injuries	MESH:D000070600
Diet, Carbohydrate Loading	MESH:D000070601
Rib Cage	MESH:D000070602
Coxa Magna	MESH:D000070603
Tarsal Coalition	MESH:D000070604
Aponeurosis	MESH:D000070606
Morton Neuroma	MESH:D000070607
Nucleus Pulposus	MESH:D000070614
Annulus Fibrosus	MESH:D000070616
Microtrauma, Physical	MESH:D000070617
Cystography	MESH:D000070621
Brain Contusion	MESH:D000070624
Brain Injuries, Diffuse	MESH:D000070625
Chronic Traumatic Encephalopathy	MESH:D000070627
Closed Fracture Reduction	MESH:D000070628
Diastasis, Muscle	MESH:D000070630
Diastasis, Bone	MESH:D000070631
Hamstring Tendons	MESH:D000070632
Hamstring Muscles	MESH:D000070633
Non-Neuronal Cholinergic System	MESH:D000070634
Punctal Plugs	MESH:D000070635
Rotator Cuff Injuries	MESH:D000070636
Collateral Ligament, Ulnar	MESH:D000070637
Ulnar Collateral Ligament Reconstruction	MESH:D000070638
Elbow Tendinopathy	MESH:D000070639
Brain Injuries, Traumatic	MESH:D000070642
Rotator Cuff Tear Arthropathy	MESH:D000070656
Crystal Arthropathies	MESH:D000070657
Vigna	MESH:D000070658
Patient Comfort	MESH:D000070659
Wolfiporia	MESH:D000070660
Enthesopathy	MESH:D000070676
Gentianales	MESH:D000070677
Buttermilk	MESH:D000070696
Kefir	MESH:D000070716
Koumiss	MESH:D000070736
School Teachers	MESH:D000070777
Perilipin-1	MESH:D000070778
Giant Cell Tumor of Tendon Sheath	MESH:D000070779
Perilipin-2	MESH:D000070780
Perilipin-3	MESH:D000070796
Perilipin-5	MESH:D000070797
Nogo Proteins	MESH:D000070798
Open Fracture Reduction	MESH:D000070799
Nogo Receptor 1	MESH:D000070816
Nogo Receptor 2	MESH:D000070817
Discoidin Domain Receptors	MESH:D000070818
Discoidin Domain Receptor 1	MESH:D000070819
Discoidin Domain Receptor 2	MESH:D000070820
Discoidins	MESH:D000070821
Discoidin Domain	MESH:D000070822
Lysine Acetyltransferases	MESH:D000070837
Pharmacy Research	MESH:D000070838
Nuclear Pharmacy	MESH:D000070840
High Fidelity Simulation Training	MESH:D000070856
Walk Test	MESH:D000070857
Tensins	MESH:D000070876
Bankart Lesions	MESH:D000070896
Tenocytes	MESH:D000070916
Synoviocytes	MESH:D000070918
MutL Proteins	MESH:D000070956
MutL Protein Homolog 1	MESH:D000070957
Mismatch Repair Endonuclease PMS2	MESH:D000070976
ATP Binding Cassette Transporter, Subfamily G	MESH:D000070996
ATP Binding Cassette Transporter, Subfamily G, Member 2	MESH:D000070997
ATP Binding Cassette Transporter, Subfamily G, Member 1	MESH:D000070998
Hyperekplexia	MESH:D000071017
ATP Binding Cassette Transporter, Subfamily G, Member 5	MESH:D000071018
ATP Binding Cassette Transporter, Subfamily G, Member 8	MESH:D000071019
Hemochromatosis Protein	MESH:D000071020
Sentinel Lymph Node	MESH:D000071036
Place Cells	MESH:D000071037
Grid Cells	MESH:D000071038
Perirhinal Cortex	MESH:D000071039
Axon Initial Segment	MESH:D000071040
Esophageal Mucosa	MESH:D000071041
Anorectal Malformations	MESH:D000071056
Tardive Dyskinesia	MESH:D000071057
Huntingtin Protein	MESH:D000071058
Phage Therapy	MESH:D000071059
Breast Density	MESH:D000071060
Traditional Pulse Diagnosis	MESH:D000071061
Sutureless Surgical Procedures	MESH:D000071062
Endoglin	MESH:D000071063
Alert Fatigue, Health Personnel	MESH:D000071064
Standing Orders	MESH:D000071065
Patient Reported Outcome Measures	MESH:D000071066
Pneumonia, Necrotizing	MESH:D000071067
Lipocalin-2	MESH:D000071068
Multiple Chronic Conditions	MESH:D000071069
Familial Multiple Lipomatosis	MESH:D000071070
Microaneurysm	MESH:D000071071
Acute Febrile Encephalopathy	MESH:D000071072
Neonatal Sepsis	MESH:D000071074
Small Fiber Neuropathy	MESH:D000071075
Network Meta-Analysis	MESH:D000071076
Surgical Oncology	MESH:D000071077
Stenosis, Pulmonary Vein	MESH:D000071078
Stenosis, Pulmonary Artery	MESH:D000071079
Cortical Excitability	MESH:D000071080
Minimal Clinically Important Difference	MESH:D000071081
Single-Balloon Enteroscopy	MESH:D000071085
Balloon Enteroscopy	MESH:D000071087
ADAMTS Proteins	MESH:D000071096
ADAMTS1 Protein	MESH:D000071097
ADAMTS5 Protein	MESH:D000071116
Laboratory Critical Values	MESH:D000071117
ADAMTS7 Protein	MESH:D000071118
ADAMTS9 Protein	MESH:D000071119
ADAMTS13 Protein	MESH:D000071120
ADAMTS4 Protein	MESH:D000071121
Poly (ADP-Ribose) Polymerase-1	MESH:D000071137
