"chembl_id","who_name","level1","level2","level3","level4","level5","level1_description","level2_description","level3_description","level4_description"
"CHEMBL102358","idrocilamide","M","M02","M02A","M02AX","M02AX05","MUSCULO-SKELETAL SYSTEM","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","Other topical products for joint and muscular pain"
"CHEMBL1024","ifosfamide","L","L01","L01A","L01AA","L01AA06","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","ALKYLATING AGENTS","Nitrogen mustard analogues"
"CHEMBL1025","fluostigmine","S","S01","S01E","S01EB","S01EB07","SENSORY ORGANS","OPHTHALMOLOGICALS","ANTIGLAUCOMA PREPARATIONS AND MIOTICS","Parasympathomimetics"
"CHEMBL1027","tiagabine","N","N03","N03A","N03AG","N03AG06","NERVOUS SYSTEM","ANTIEPILEPTICS","ANTIEPILEPTICS","Fatty acid derivatives"
"CHEMBL1029","miglustat","A","A16","A16A","A16AX","A16AX06","ALIMENTARY TRACT AND METABOLISM","OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS","OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS","Various alimentary tract and metabolism products"
"CHEMBL103","progesterone","G","G03","G03D","G03DA","G03DA04","GENITO URINARY SYSTEM AND SEX HORMONES","SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM","PROGESTOGENS","Pregnen (4) derivatives"
"CHEMBL104","clotrimazole","G","G01","G01A","G01AF","G01AF02","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"CHEMBL104","clotrimazole","A","A01","A01A","A01AB","A01AB18","ALIMENTARY TRACT AND METABOLISM","STOMATOLOGICAL PREPARATIONS","STOMATOLOGICAL PREPARATIONS","Antiinfectives and antiseptics for local oral treatment"
"CHEMBL104","clotrimazole","D","D01","D01A","D01AC","D01AC01","DERMATOLOGICALS","ANTIFUNGALS FOR DERMATOLOGICAL USE","ANTIFUNGALS FOR TOPICAL USE","Imidazole and triazole derivatives"
"CHEMBL1042","colecalciferol","A","A11","A11C","A11CC","A11CC05","ALIMENTARY TRACT AND METABOLISM","VITAMINS","VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin D and analogues"
"CHEMBL1043","dapsone","D","D10","D10A","D10AX","D10AX05","DERMATOLOGICALS","ANTI-ACNE PREPARATIONS","ANTI-ACNE PREPARATIONS FOR TOPICAL USE","Other anti-acne preparations for topical use"
"CHEMBL1043","dapsone","J","J04","J04B","J04BA","J04BA02","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIMYCOBACTERIALS","DRUGS FOR TREATMENT OF LEPRA","Drugs for treatment of lepra"
"CHEMBL1046","aminocaproic acid","B","B02","B02A","B02AA","B02AA01","BLOOD AND BLOOD FORMING ORGANS","ANTIHEMORRHAGICS","ANTIFIBRINOLYTICS","Amino acids"
"CHEMBL104943","monoethanolamine oleate","C","C05","C05B","C05BB","C05BB01","CARDIOVASCULAR SYSTEM","VASOPROTECTIVES","ANTIVARICOSE THERAPY","Sclerosing agents for local injection"
"CHEMBL105","mitomycin","L","L01","L01D","L01DC","L01DC03","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES","Other cytotoxic antibiotics"
"CHEMBL1051","latanoprost","S","S01","S01E","S01EE","S01EE01","SENSORY ORGANS","OPHTHALMOLOGICALS","ANTIGLAUCOMA PREPARATIONS AND MIOTICS","Prostaglandin analogues"
"CHEMBL1054","trichlormethiazide","C","C03","C03A","C03AA","C03AA06","CARDIOVASCULAR SYSTEM","DIURETICS","LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
"CHEMBL1055","chlortalidone","C","C03","C03B","C03BA","C03BA04","CARDIOVASCULAR SYSTEM","DIURETICS","LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
"CHEMBL1059","pregabalin","N","N03","N03A","N03AX","N03AX16","NERVOUS SYSTEM","ANTIEPILEPTICS","ANTIEPILEPTICS","Other antiepileptics"
"CHEMBL106","fluconazole","D","D01","D01A","D01AC","D01AC15","DERMATOLOGICALS","ANTIFUNGALS FOR DERMATOLOGICAL USE","ANTIFUNGALS FOR TOPICAL USE","Imidazole and triazole derivatives"
"CHEMBL106","fluconazole","J","J02","J02A","J02AC","J02AC01","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIMYCOTICS FOR SYSTEMIC USE","ANTIMYCOTICS FOR SYSTEMIC USE","Triazole derivatives"
"CHEMBL1060","sodium phosphate","A","A06","A06A","A06AD","A06AD17","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"CHEMBL1060","sodium phosphate","B","B05","B05X","B05XA","B05XA09","BLOOD AND BLOOD FORMING ORGANS","BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS","I.V. SOLUTION ADDITIVES","Electrolyte solutions"
"CHEMBL1060","sodium phosphate","A","A06","A06A","A06AG","A06AG01","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Enemas"
"CHEMBL1064","simvastatin","C","C10","C10A","C10AA","C10AA01","CARDIOVASCULAR SYSTEM","LIPID MODIFYING AGENTS","LIPID MODIFYING AGENTS, PLAIN","HMG CoA reductase inhibitors"
"CHEMBL1068","oxcarbazepine","N","N03","N03A","N03AF","N03AF02","NERVOUS SYSTEM","ANTIEPILEPTICS","ANTIEPILEPTICS","Carboxamide derivatives"
"CHEMBL1069","valsartan","C","C09","C09C","C09CA","C09CA03","CARDIOVASCULAR SYSTEM","AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
"CHEMBL107","colchicine","M","M04","M04A","M04AC","M04AC01","MUSCULO-SKELETAL SYSTEM","ANTIGOUT PREPARATIONS","ANTIGOUT PREPARATIONS","Preparations with no effect on uric acid metabolism"
"CHEMBL1070","nabumetone","M","M01","M01A","M01AX","M01AX01","MUSCULO-SKELETAL SYSTEM","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","Other antiinflammatory and antirheumatic agents, non-steroids"
"CHEMBL1071","oxaprozin","M","M01","M01A","M01AE","M01AE12","MUSCULO-SKELETAL SYSTEM","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","Propionic acid derivatives"
"CHEMBL1072","bumetanide","C","C03","C03C","C03CA","C03CA02","CARDIOVASCULAR SYSTEM","DIURETICS","HIGH-CEILING DIURETICS","Sulfonamides, plain"
"CHEMBL1073","glipizide","A","A10","A10B","A10BB","A10BB07","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"CHEMBL107360","quinupramine","N","N06","N06A","N06AA","N06AA23","NERVOUS SYSTEM","PSYCHOANALEPTICS","ANTIDEPRESSANTS","Non-selective monoamine reuptake inhibitors"
"CHEMBL1075","moracizine","C","C01","C01B","C01BG","C01BG01","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Other antiarrhythmics, class I and III"
"CHEMBL1075733","valnoctamide","N","N05","N05C","N05CM","N05CM13","NERVOUS SYSTEM","PSYCHOLEPTICS","HYPNOTICS AND SEDATIVES","Other hypnotics and sedatives"
"CHEMBL1075790","peruvoside","C","C01","C01A","C01AX","C01AX02","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","CARDIAC GLYCOSIDES","Other cardiac glycosides"
"CHEMBL1076211","tolperisone","M","M03","M03B","M03BX","M03BX04","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Other centrally acting agents"
"CHEMBL1076211","tolperisone","M","M02","M02A","M02AX","M02AX06","MUSCULO-SKELETAL SYSTEM","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","Other topical products for joint and muscular pain"
"CHEMBL1077","bromfenac","S","S01","S01B","S01BC","S01BC11","SENSORY ORGANS","OPHTHALMOLOGICALS","ANTIINFLAMMATORY AGENTS","Antiinflammatory agents, non-steroids"
"CHEMBL1077896","ropivacaine","N","N01","N01B","N01BB","N01BB09","NERVOUS SYSTEM","ANESTHETICS","ANESTHETICS, LOCAL","Amides"
"CHEMBL1078261","propiverine","G","G04","G04B","G04BD","G04BD06","GENITO URINARY SYSTEM AND SEX HORMONES","UROLOGICALS","UROLOGICALS","Drugs for urinary frequency and incontinence"
"CHEMBL1079","tizanidine","M","M03","M03B","M03BX","M03BX02","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Other centrally acting agents"
"CHEMBL1079576","phenprobamate","M","M03","M03B","M03BA","M03BA01","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"CHEMBL1079576","phenprobamate, combinations with psycholeptics","M","M03","M03B","M03BA","M03BA71","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"CHEMBL1079576","phenprobamate, combinations excl. psycholeptics","M","M03","M03B","M03BA","M03BA51","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"CHEMBL1079905","propentofylline","N","N06","N06B","N06BC","N06BC02","NERVOUS SYSTEM","PSYCHOANALEPTICS","PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS","Xanthine derivatives"
"CHEMBL108","carbamazepine","N","N03","N03A","N03AF","N03AF01","NERVOUS SYSTEM","ANTIEPILEPTICS","ANTIEPILEPTICS","Carboxamide derivatives"
"CHEMBL1082","amoxicillin","J","J01","J01C","J01CA","J01CA04","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"CHEMBL1082354","tenonitrozole","P","P01","P01A","P01AX","P01AX08","ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ANTIPROTOZOALS","AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES","Other agents against amoebiasis and other protozoal diseases"
"CHEMBL1082407","enzalutamide","L","L02","L02B","L02BB","L02BB04","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ENDOCRINE THERAPY","HORMONE ANTAGONISTS AND RELATED AGENTS","Anti-androgens"
"CHEMBL108358","tiazofurine","L","L01","L01X","L01XX","L01XX18","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Other antineoplastic agents"
"CHEMBL1083659","suvorexant","N","N05","N05C","N05CM","N05CM19","NERVOUS SYSTEM","PSYCHOLEPTICS","HYPNOTICS AND SEDATIVES","Other hypnotics and sedatives"
"CHEMBL1085","acetophenazine","N","N05","N05A","N05AB","N05AB07","NERVOUS SYSTEM","PSYCHOLEPTICS","ANTIPSYCHOTICS","Phenothiazines with piperazine structure"
"CHEMBL1085699","manidipine","C","C08","C08C","C08CA","C08CA11","CARDIOVASCULAR SYSTEM","CALCIUM CHANNEL BLOCKERS","SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS","Dihydropyridine derivatives"
"CHEMBL1086","cinchocaine","N","N01","N01B","N01BB","N01BB06","NERVOUS SYSTEM","ANESTHETICS","ANESTHETICS, LOCAL","Amides"
"CHEMBL1086","cinchocaine","C","C05","C05A","C05AD","C05AD04","CARDIOVASCULAR SYSTEM","VASOPROTECTIVES","AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE","Local anesthetics"
"CHEMBL1086","cinchocaine","S","S01","S01H","S01HA","S01HA06","SENSORY ORGANS","OPHTHALMOLOGICALS","LOCAL ANESTHETICS","Local anesthetics"
"CHEMBL1086","cinchocaine","S","S02","S02D","S02DA","S02DA04","SENSORY ORGANS","OTOLOGICALS","OTHER OTOLOGICALS","Analgesics and anesthetics"
"CHEMBL1086","cinchocaine","D","D04","D04A","D04AB","D04AB02","DERMATOLOGICALS","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","Anesthetics for topical use"
"CHEMBL1086440","triclabendazole","P","P02","P02B","P02BX","P02BX04","ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ANTHELMINTICS","ANTITREMATODALS","Other antitrematodal agents"
"CHEMBL1087","mepivacaine, combinations","N","N01","N01B","N01BB","N01BB53","NERVOUS SYSTEM","ANESTHETICS","ANESTHETICS, LOCAL","Amides"
"CHEMBL1087","mepivacaine","N","N01","N01B","N01BB","N01BB03","NERVOUS SYSTEM","ANESTHETICS","ANESTHETICS, LOCAL","Amides"
"CHEMBL10878","agomelatine","N","N06","N06A","N06AX","N06AX22","NERVOUS SYSTEM","PSYCHOANALEPTICS","ANTIDEPRESSANTS","Other antidepressants"
"CHEMBL1088","mesoridazine","N","N05","N05A","N05AC","N05AC03","NERVOUS SYSTEM","PSYCHOLEPTICS","ANTIPSYCHOTICS","Phenothiazines with piperidine structure"
"CHEMBL1088977","ademetionine","A","A16","A16A","A16AA","A16AA02","ALIMENTARY TRACT AND METABOLISM","OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS","OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS","Amino acids and derivatives"
"CHEMBL1089","phenelzine","N","N06","N06A","N06AF","N06AF03","NERVOUS SYSTEM","PSYCHOANALEPTICS","ANTIDEPRESSANTS","Monoamine oxidase inhibitors, non-selective"
"CHEMBL1089221","bendazac","M","M02","M02A","M02AA","M02AA11","MUSCULO-SKELETAL SYSTEM","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","Antiinflammatory preparations, non-steroids for topical use"
"CHEMBL1089221","bendazac","S","S01","S01B","S01BC","S01BC07","SENSORY ORGANS","OPHTHALMOLOGICALS","ANTIINFLAMMATORY AGENTS","Antiinflammatory agents, non-steroids"
"CHEMBL1089318","opicapone","N","N04","N04B","N04BX","N04BX04","NERVOUS SYSTEM","ANTI-PARKINSON DRUGS","DOPAMINERGIC AGENTS","Other dopaminergic agents"
"CHEMBL1089962","fructose 1,6-diphosphate","C","C01","C01E","C01EB","C01EB07","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","OTHER CARDIAC PREPARATIONS","Other cardiac preparations"
"CHEMBL109","valproic acid","N","N03","N03A","N03AG","N03AG01","NERVOUS SYSTEM","ANTIEPILEPTICS","ANTIEPILEPTICS","Fatty acid derivatives"
"CHEMBL1090","vidarabine","S","S01","S01A","S01AD","S01AD06","SENSORY ORGANS","OPHTHALMOLOGICALS","ANTIINFECTIVES","Antivirals"
"CHEMBL1090","vidarabine","J","J05","J05A","J05AB","J05AB03","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"CHEMBL1091","hydrocortisone","S","S01","S01B","S01BA","S01BA02","SENSORY ORGANS","OPHTHALMOLOGICALS","ANTIINFLAMMATORY AGENTS","Corticosteroids, plain"
"CHEMBL1091","hydrocortisone","S","S02","S02B","S02BA","S02BA01","SENSORY ORGANS","OTOLOGICALS","CORTICOSTEROIDS","Corticosteroids"
"CHEMBL1091","hydrocortisone","H","H02","H02A","H02AB","H02AB09","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS","CORTICOSTEROIDS FOR SYSTEMIC USE","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN","Glucocorticoids"
"CHEMBL1091","hydrocortisone","D","D07","D07A","D07AA","D07AA02","DERMATOLOGICALS","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","Corticosteroids, weak (group I)"
"CHEMBL1091","hydrocortisone","A","A07","A07E","A07EA","A07EA02","ALIMENTARY TRACT AND METABOLISM","ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","INTESTINAL ANTIINFLAMMATORY AGENTS","Corticosteroids acting locally"
"CHEMBL1091","hydrocortisone","C","C05","C05A","C05AA","C05AA01","CARDIOVASCULAR SYSTEM","VASOPROTECTIVES","AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE","Corticosteroids"
"CHEMBL1091","hydrocortisone","S","S01","S01C","S01CB","S01CB03","SENSORY ORGANS","OPHTHALMOLOGICALS","ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION","Corticosteroids/antiinfectives/mydriatics in combination"
"CHEMBL1091","hydrocortisone","A","A01","A01A","A01AC","A01AC03","ALIMENTARY TRACT AND METABOLISM","STOMATOLOGICAL PREPARATIONS","STOMATOLOGICAL PREPARATIONS","Corticosteroids for local oral treatment"
"CHEMBL1091","hydrocortisone","D","D07","D07X","D07XA","D07XA01","DERMATOLOGICALS","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","Corticosteroids, weak, other combinations"
"CHEMBL1091024","miocamycin","J","J01","J01F","J01FA","J01FA11","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS","Macrolides"
"CHEMBL1092067","fludeoxyglucose (18F)","V","V09","V09I","V09IX","V09IX04","VARIOUS","DIAGNOSTIC RADIOPHARMACEUTICALS","TUMOUR DETECTION","Other diagnostic radiopharmaceuticals for tumour detection"
"CHEMBL1093","articaine","N","N01","N01B","N01BB","N01BB08","NERVOUS SYSTEM","ANESTHETICS","ANESTHETICS, LOCAL","Amides"
"CHEMBL1093","articaine, combinations","N","N01","N01B","N01BB","N01BB58","NERVOUS SYSTEM","ANESTHETICS","ANESTHETICS, LOCAL","Amides"
"CHEMBL1094","felbamate","N","N03","N03A","N03AX","N03AX10","NERVOUS SYSTEM","ANTIEPILEPTICS","ANTIEPILEPTICS","Other antiepileptics"
"CHEMBL1094636","niraparib","L","L01","L01X","L01XX","L01XX54","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Other antineoplastic agents"
"CHEMBL1094966","pirbuterol","R","R03","R03C","R03CC","R03CC07","RESPIRATORY SYSTEM","DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","ADRENERGICS FOR SYSTEMIC USE","Selective beta-2-adrenoreceptor agonists"
"CHEMBL1094966","pirbuterol","R","R03","R03A","R03AC","R03AC08","RESPIRATORY SYSTEM","DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","ADRENERGICS, INHALANTS","Selective beta-2-adrenoreceptor agonists"
"CHEMBL1094982","inositol nicotinate","C","C04","C04A","C04AC","C04AC03","CARDIOVASCULAR SYSTEM","PERIPHERAL VASODILATORS","PERIPHERAL VASODILATORS","Nicotinic acid and derivatives"
"CHEMBL1095","ethotoin","N","N03","N03A","N03AB","N03AB01","NERVOUS SYSTEM","ANTIEPILEPTICS","ANTIEPILEPTICS","Hydantoin derivatives"
"CHEMBL1095097","eplerenone","C","C03","C03D","C03DA","C03DA04","CARDIOVASCULAR SYSTEM","DIURETICS","POTASSIUM-SPARING AGENTS","Aldosterone antagonists"
"CHEMBL1095282","camazepam","N","N05","N05B","N05BA","N05BA15","NERVOUS SYSTEM","PSYCHOLEPTICS","ANXIOLYTICS","Benzodiazepine derivatives"
"CHEMBL1095283","carfecillin","G","G01","G01A","G01AA","G01AA08","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Antibiotics"
"CHEMBL1095284","cefatrizine","J","J01","J01D","J01DB","J01DB07","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","OTHER BETA-LACTAM ANTIBACTERIALS","First-generation cephalosporins"
"CHEMBL1095292","bretylium tosilate","C","C01","C01B","C01BD","C01BD02","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
"CHEMBL1095607","reproterol","R","R03","R03A","R03AC","R03AC15","RESPIRATORY SYSTEM","DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","ADRENERGICS, INHALANTS","Selective beta-2-adrenoreceptor agonists"
"CHEMBL1095607","reproterol","R","R03","R03C","R03CC","R03CC14","RESPIRATORY SYSTEM","DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","ADRENERGICS FOR SYSTEMIC USE","Selective beta-2-adrenoreceptor agonists"
"CHEMBL1095777","indacaterol","R","R03","R03A","R03AC","R03AC18","RESPIRATORY SYSTEM","DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","ADRENERGICS, INHALANTS","Selective beta-2-adrenoreceptor agonists"
"CHEMBL1096","amlexanox","R","R03","R03D","R03DX","R03DX01","RESPIRATORY SYSTEM","DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","Other systemic drugs for obstructive airway diseases"
